"player","mapsPlayed","impact","rating"
"alecks",5,-0.000393294058840025,NA
"GreK",2,-0.000394694852659214,NA
"spookr",1,-0.000397283585255666,NA
"chrisM",1,-0.000400814780923758,NA
"picky",2,-0.000401462138722818,NA
"deoxiDE",2,-0.00040233583166488,NA
"ruggah",9,-0.000402727809463003,0.72
"zevy",1,-0.000402972490986716,NA
"ARSENY",2,-0.000405645872350108,NA
"Demho",2,-0.00040725634866205,NA
"rdO",3,-0.000408660328583827,NA
"J4CK",1,-0.000411803788399742,NA
"Bustem",1,-0.000412598708243918,NA
"OWNER",3,-0.000414003664824009,NA
"NOPEEJ",2,-0.000414666018016302,NA
"Max0b",1,-0.000414844459701507,NA
"znx",2,-0.00041822288768022,NA
"kpiz",1,-0.000418408723957309,NA
"BLUEE",2,-0.000422104180729857,NA
"shaney",2,-0.000423083383759845,NA
"guGi",1,-0.000425607933876288,NA
"koga",1,-0.000425865685131267,NA
"zbM",1,-0.000426225132924768,0.48
"fNk",2,-0.000426305609753909,NA
"Lacore",1,-0.000427129211368389,NA
"lurzz",1,-0.000428393588259156,NA
"Hotel",1,-0.000429126930625864,NA
"NKsan",1,-0.000431779090914706,NA
"Get_Jeka",2,-0.000432528029334571,NA
"J",9,-0.000435311399427378,NA
"headtr1ck",2,-0.000435953758398297,NA
"mag0o",2,-0.000436415275191364,NA
"Jamie",1,-0.000437460741004097,NA
"jok",1,-0.000438882310734153,NA
"luk",2,-0.000441031633373473,NA
"k0ja",1,-0.000441128590836289,NA
"Zerocool",1,-0.000442703518094387,NA
"Glovee",3,-0.000443439947632303,NA
"MusambaN1",2,-0.000450713509263555,NA
"Sys",1,-0.000452876639038368,NA
"l0gicman",2,-0.000453782405465264,NA
"etl",1,-0.000453788171762429,NA
"NIZN",2,-0.000453960857253546,NA
"real_bM",1,-0.000455753062466676,NA
"blacktear5",2,-0.000456702561859158,NA
"SeanL",1,-0.00045847005342894,NA
"far",2,-0.000458854149055203,NA
"aMi",1,-0.000460602333571345,0.58
"KD69z",2,-0.000461856782429577,NA
"LEo",3,-0.000461985428594682,NA
"zont1x",2,-0.000462771699852232,NA
"bzt",2,-0.000464479533002568,NA
"z1",2,-0.00046846669448018,NA
"kurtaliz",2,-0.000468600735123256,NA
"knave",1,-0.000469053252940539,NA
"Zac",1,-0.00046952227389773,NA
"T.c",1,-0.000470621383054869,NA
"pickles",1,-0.000472095974803199,NA
"SneakZ",1,-0.000473669891823211,NA
"DomiNate",1,-0.000479067933931297,NA
"chrille",1,-0.000479349054042595,NA
"crazyd33R",3,-0.000484625069477402,NA
"Art1st",3,-0.000487197137734236,NA
"breaker",1,-0.000487293230754004,NA
"VANITY",4,-0.00048973328473198,NA
"bnox",2,-0.00049758209452381,NA
"Staehr",2,-0.000498430520629874,NA
"jenko",6,-0.000499096649414661,NA
"spyn",1,-0.000499783087333405,NA
"INCRED",1,-0.000500116683898621,NA
"alter",4,-0.000500520513844257,NA
"Delpan",3,-0.000500796462801736,NA
"RIZZZ",2,-0.000500890834736458,NA
"alfonzz",2,-0.000500922754995162,NA
"Twistzz",1124,-0.000501490684026498,1.11
"acoR",446,-0.000508334812284327,1.06
"xerolte",5,-0.000510363809032404,NA
"yukiiii",2,-0.000512147544161037,NA
"torr",1,-0.0005126928543852,NA
"pan1K",2,-0.00051439224369355,NA
"e1",1,-0.00051708066660878,NA
"RuFire",2,-0.000517951001182214,NA
"ReacTioNNN",2,-0.000519994797430933,NA
"Maziaz",5,-0.000521814883468647,NA
"dizzyLife",5,-0.000526846146368104,NA
"RobbaN",2,-0.000527693425529612,0.73
"slaYn",2,-0.000528243643323275,NA
"EXR",1,-0.000530673449423743,NA
