"player","mapsPlayed","impact","rating"
"f0bless",2,-0.0003506219370785,NA
"RuFire",2,-0.000352601981086247,NA
"RENNE",2,-0.000353232523139845,NA
"kevzy",5,-0.000353905237821869,NA
"Rev",1,-0.000356003995185752,NA
"kev1n",1,-0.000356147921492714,NA
"Gringo",2,-0.000356410643912274,NA
"z1",2,-0.000359911827797238,NA
"doobler",2,-0.000360707629299497,NA
"defry",2,-0.000360805202823556,NA
"s4",2,-0.000366178594939712,NA
"Nerdy",2,-0.000366495585182273,NA
"ImP",2,-0.000369676098140833,NA
"arbie",3,-0.00036978581001786,NA
"JMZ",1,-0.000370362517283713,NA
"e1",1,-0.000372495366089746,NA
"dizzyLife",5,-0.000373443834369883,NA
"Strings",4,-0.000373707520101759,NA
"kuben",3,-0.000374146706648998,0.39
"Smash",2,-0.000375213410580909,NA
"j1NZO",2,-0.000375386781737763,NA
"xizy",1,-0.000378695733277696,NA
"xertioN",8,-0.000379399645368806,NA
"KiiroKami",1,-0.000380584616506528,NA
"theguy",1,-0.000381259789472796,NA
"monne",1,-0.000383079738488679,NA
"Tauson",2,-0.000384668615686227,NA
"uN1",1,-0.000386142360326134,NA
"Maki",2,-0.000388099993794476,NA
"Lobanjica",3,-0.000388681111018782,NA
"Krutoi",2,-0.000388866110565053,NA
"real_bM",1,-0.000389010907421321,NA
"Synyx",2,-0.000389445047991876,NA
"h1glaiN",3,-0.000390541397246137,NA
"Nutr1xNTC",1,-0.000390727774639935,NA
"J",9,-0.00039087679596451,NA
"TRAVIS",19,-0.00039191759761815,NA
"TOBIZ",2,-0.000393854793656341,NA
"RobbaN",2,-0.000394171541615899,0.73
"wudixt",1,-0.000394622692319848,NA
"kr1vda",4,-0.000395850259281164,NA
"Tham",2,-0.000396236245261182,NA
"yAmi",5,-0.000396991789660995,NA
"saveeey",1,-0.000398433792685126,NA
"Bustem",1,-0.000400569065226888,NA
"peacemaker",2,-0.000400767923276117,NA
"Perfecto",411,-0.000402042529514926,1.01
"Dodz",5,-0.000402618516521705,NA
"wizzem",1,-0.000404139053370909,NA
"KarlClt",2,-0.000404975418842604,NA
"DubsteP",2,-0.000405082249417973,NA
"affiNity",1,-0.000405476411595939,NA
"0scar",2,-0.000405540368755017,NA
"k1Ng0r",2,-0.000406072644477518,NA
"Nertz",1,-0.000407938143238793,NA
"krecker",9,-0.00041118972217106,NA
"KriLLe",8,-0.000413176296763905,NA
"pt",2,-0.00041631714789913,NA
"LESMARK",1,-0.000417376672540595,NA
"Hkta",4,-0.000418209706557742,NA
"ino",1,-0.000419010550312865,NA
